Material,Material Description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Nam,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde.1,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufactur,Catalog No,UOM,Unrestrict,Restricted,QC Stock,Inv Value,Safety Sto,SS %,Stock in t,Blocked St,Blocked St.1,Date of Ma,Last goods,End of lif
1952025-1,"speed sensor, version 1",ZFRT,,AEO,Z120,79936774,,YC44,PH10,,B,L,N,0943,,,42265,,ADN,305,IN,D,,,,,AUT SHIRWAL TESOG,,AK3,,,,1952025-1,PC,"1,200",0,0,6047.93,0,0.00,0,0.000,0.000,04/25/2025,07/03/2025,
1802646-1,"strain relief,charge inlet,ac",ZFRT,,AND,Z130,86530777,,J880,PH10,,C,C,N,0943,,,14003,,AND,278,CZ,B,,,,,AUT KURIM TESOG,,P27,,,,1802646-1,PC,"4,000",0,0,732.16,0,0.00,0,0.000,0.000,06/27/2025,06/28/2025,
1718633-1,cpa for amp mcp 2.8,ZHLB,,AL2,Z200,49222461,,M235,PH10,,C,C,X,0943,,,43104,,AL2,101,IN,B,,,,,AUT SHIRWAL TESOG,,N10,,7,,1718633-1,PC,"15,975",0,0,150.82,0,0.00,0,0.000,0.000,01/05/2024,04/10/2024,
2236956-2,6pos mqs tab cod b,ZFRT,,AND,Z100,85205939,,M133,PH10,,B,C,N,0943,,,43169,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,N02,,2,,2236956-2,PC,"1,000",0,0,49.98,0,0.00,0,0.000,0.000,06/09/2025,06/13/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,83443046,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,432,0,0,315.5,0,0.00,0,0.000,0.000,05/10/2025,07/17/2025,
144906-5,9p sealed conn. for jpt,ZHLB,,AL2,Z200,48082381,,M289,PH10,,C,C,N,0943,,,43186,,AL2,101,HU,C,,,,,AUT SHIRWAL TESOG,,N03,,,,144906-5,PC,"1,600",0,0,268.46,0,0.00,0,0.000,0.000,11/21/2023,08/06/2024,
2-1452726-1,2way plug conn. 8mm pitch,ZFRT,,AEO,Z120,80905780,,W767,PH10,,B,C,X,0943,,,41396,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P08,,,,2-1452726-1,PC,"24,000",0,0,1926.28,"28,800",83.00,0,0.000,0.000,04/11/2025,06/20/2025,
2-2236516-1,"80pos,0.64 gener. y,rec hsg,assy,sld",ZFRT,,ADO,Z120,83550495,,M638,PH10,,A,C,N,0943,,,43069,,ADN,101,IN,G,,,,,AUT SHIRWAL TESOG,,NAC,,2,,2-2236516-1,PC,60,0,0,79.64,0,0.00,0,0.000,0.000,05/12/2025,07/17/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,83268125,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,432,0,0,315.5,0,0.00,0,0.000,0.000,05/08/2025,07/11/2025,
1-1718624-2,2 pos hsg amp mcp 2.8 assy,ZFRT,,AEO,Z100,80684599,,M105,PH10,,B,C,N,0943,,,43104,,ADN,101,IN,C,,,,,AUT SHIRWAL TESOG,,N10,,2,,1-1718624-2,PC,"2,000",0,0,327.09,0,0.00,0,0.000,0.000,04/08/2025,06/10/2025,
1718634-1,amp mcp 2.8 hsg. 3pos.,ZHLB,,AL2,Z200,44111410,,M131,PH10,,C,C,X,0943,,,43104,,AL2,101,HU,B,,,,,AUT SHIRWAL TESOG,,N10,,7,,1718634-1,PC,"22,880",0,0,1393.76,0,0.00,0,0.000,0.000,04/16/2023,03/08/2024,
2066147-8,"1pos,dia 4mm con,cable assy(grey/yellow)",ZFRT,,AEO,Z200,14769516,,4178,PH10,,C,X,N,0943,,,43058,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,895,,8,,2066147-8,PC,400,0,0,493.01,0,0.00,0,0.000,0.000,11/15/2017,02/26/2021,09/30/2035
2-1452726-8,2way plug conn. pitch 8mm fakra 2,ZFRT,,AEO,Z100,86849589,,W767,PH10,,B,C,X,0943,,,41396,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P08,,,,2-1452726-8,PC,"7,200",0,0,540.12,0,0.00,0,0.000,0.000,06/28/2025,07/16/2025,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,87133049,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,200,0,0,1826.0,"15,000",1.00,0,0.000,0.000,07/03/2025,07/17/2025,
1802637-1,"protection cap/cvr,dc,lhd",ZHLB,,AND,Z130,88455139,,J880,PH10,,B,C,N,0943,,,14003,,AND,278,CZ,B,,,,,AUT KURIM TESOG,,P27,,7,,1802637-1,PC,"9,880",0,0,6180.57,0,0.00,0,0.000,0.000,07/24/2025,07/27/2025,
1203972-1,x91 ptc system - lhd,ZFRT,,AEO,Z200,0683410115,,L727,PH10,,C,C,X,0943,,,43058,,AEO,101,IN,M3,,,,,AUT SHIRWAL TESOG,,895,,8,,1203972-1,PC,448,0,0,2924.9,0,0.00,0,0.000,0.000,01/15/2015,04/15/2021,09/30/2030
2141466-1,"4pos,nanomqs,sock hsg,assy,sealed,coda",ZFRT,,ADO,Z100,80860731,,M120,PH10,,A,C,N,0943,,,43155,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,N54,,1,,2141466-1,PC,"6,000",0,0,1483.35,0,0.00,0,0.000,0.000,,06/20/2025,
1564004-3,"6pos,tab 1.00x0.64,tab hsg,assy",ZFRT,,ADO,Z120,79472331,,M127,,,B,,N,0943,,,43166,,ADN,101,IN,A,W,,,3052025,AUT SHIRWAL TESOG,,N26,,,,,PC,"1,100",0,0,435.38,0,0.00,0,0.000,0.000,,05/22/2025,
2141462-1,"4pos,nanomqs,rec hsg,coda",ZHLB,,AL2,Z200,79012887,,M120,PH10,,B,C,N,0943,,,43155,,AL2,101,HU,B,,,,,AUT SHIRWAL TESOG,,N54,,,,2141462-1,PC,"85,000",0,0,2483.41,0,0.00,0,0.000,0.000,03/21/2025,07/19/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,83848423,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,432,0,0,315.5,0,0.00,0,0.000,0.000,05/15/2025,07/24/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,84017549,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,"2,160",0,0,1577.5,0,0.00,0,0.000,0.000,05/17/2025,07/24/2025,
1-1718631-1,amp mcp 2.8 retainer 2pos.,ZHLB,,AL2,Z200,50196123,,M235,PH10,,C,C,X,0943,,,43104,,AL2,101,IN,A,,,,,AUT SHIRWAL TESOG,,N10,,7,,1-1718631-1,PC,"6,000",0,0,101.0,0,0.00,0,0.000,0.000,02/13/2024,02/28/2024,
1564004-1,"6pos,tab 1.00x0.64,tab hsg,3sb,assy",ZFRT,,ADO,Z120,79851525,,M127,,,C,,X,0943,,,43166,,ADN,101,IN,A,W,,,3053696,AUT SHIRWAL TESOG,,N26,,,,,PC,"1,100",0,0,650.1,0,0.00,0,0.000,0.000,,05/25/2025,
2236305-1,cover fam. seal mcon 0.5 cb,ZHLB,,AND,Z100,88542587,,M721,PH10,,B,C,N,0943,,,43075,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,NAY,,7,,2236305-1,PC,"89,700",0,0,4732.29,0,0.00,0,0.000,0.000,07/27/2025,07/30/2025,
1452861-1,8 way mqs blanking cover,ZFRT,,AND,Z120,52554568,,M237,,,C,,X,0943,,,43169,,AND,101,CZ,C,W,,,3052025,AUT KURIM TESOG,,N02,,,,,PC,"4,000",0,0,1343.94,0,0.00,0,0.000,0.000,05/06/2024,05/09/2024,
2307893-2,squib harness with horn and mfl,ZFRT,,AEO,Z120,86954556,,L728,PH10,,C,C,N,0943,,,43058,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,895,,3,,2307893-2,PC,480,0,0,1246.39,"1,440",33.00,0,0.000,0.000,06/30/2025,07/10/2025,
144995-5,jpt 9 w seal conn assy,ZFRT,,ADO,Z200,32218726,,M106,PH10,,C,C,N,0943,,,43124,,ADN,101,HU,B,,,,,AUT SHIRWAL TESOG,,N06,,2,,144995-5,PC,330,0,0,288.59,0,0.00,0,0.000,0.000,05/01/2021,12/22/2023,
1-344263-2,13 way rec hsg. nbr. sealecono,ZFRT,,ADO,Z120,51742110,,M099,PH10,,C,C,X,0943,,,43098,,ADN,101,HU,J,,,,,AUT SHIRWAL TESOG,,N34,,3,,1-344263-2,PC,"1,200",0,0,572.45,0,0.00,0,0.000,0.000,04/17/2024,04/18/2024,
1337245-3,hsg assy dia 1.5mm socketlatch,ZHLB,,AEO,Z120,84847864,,J653,PH10,,A,C,X,0943,,,42044,,ADN,284,IN,C,,,,,AUT SHIRWAL TESOG,,J93,,,,1337245-3,PC,"6,000",0,0,1348.13,0,0.00,0,0.000,0.000,05/29/2025,06/13/2025,
2-1452726-2,2way plug conn. 8mm pitch,ZFRT,,AEO,Z120,83894662,,W767,PH10,,C,C,X,0943,,,41396,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P08,,,,2-1452726-2,PC,"2,400",0,0,198.14,"33,600",7.00,0,0.000,0.000,05/16/2025,07/16/2025,
1-2315562-1,"10pos,tab0.64x0.64,hdr assy,180deg,sldr",ZFRT,,ADO,Z200,0230809870,,M171,PH10,,C,C,N,0943,,,43164,,ADO,101,US,A,,,,,AUT SHIRWAL TESOG,,N60,,1,,1-2315562-1,PC,"34,776",0,0,28279.53,"40,068",87.00,0,0.000,0.000,11/14/2024,02/05/2025,
1802685-1,"cable guide,grid ac 5w",ZHLB,,AND,Z120,87120698,,J880,PH10,,C,C,N,0943,,,14003,,AND,278,CZ,A,,,,,AUT KURIM TESOG,,P27,,7,,1802685-1,PC,"7,500",0,0,1013.23,0,0.00,0,0.000,0.000,07/21/2025,07/21/2025,
1952025-1,"speed sensor, version 1",ZFRT,,AEO,Z120,78727926,,YC44,PH10,,B,L,N,0943,,,42265,,ADN,305,IN,D,,,,,AUT SHIRWAL TESOG,,AK3,,,,1952025-1,PC,600,0,0,3023.96,0,0.00,0,0.000,0.000,03/18/2025,05/22/2025,
1564004-2,"6pos,tab 1.00x0.64,tab hsg,assy,2sb",ZFRT,,ADO,Z200,40370912,,M127,PH10,,C,C,X,0943,,,43166,,ADN,101,HU,A,,,,,AUT SHIRWAL TESOG,,N26,,9,,1564004-2,PC,"1,100",0,0,552.76,0,0.00,0,0.000,0.000,09/05/2022,06/03/2023,09/30/2037
1-1718627-1,"amp mcp 2.8 hsg. 3pos.,ass'y",ZFRT,,AEO,Z120,87478285,,M105,PH10,,C,C,X,0943,,,43104,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N10,,3,,1-1718627-1,PC,"2,400",0,0,376.74,0,0.00,0,0.000,0.000,07/09/2025,07/17/2025,
1718633-1,cpa for amp mcp 2.8,ZHLB,,AL2,Z200,49601683,,M235,PH10,,C,C,X,0943,,,43104,,AL2,101,IN,B,,,,,AUT SHIRWAL TESOG,,N10,,7,,1718633-1,PC,"50,000",0,0,472.06,0,0.00,0,0.000,0.000,01/22/2024,02/16/2024,
1719012-1,socket hsg 20 pos mqs,ZHLB,,ADO,Z120,86955538,,M185,PH10,,B,C,X,0943,,,43170,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N04,,2,,1719012-1,PC,600,0,0,922.41,0,0.00,0,0.000,0.000,06/30/2025,07/08/2025,
1241634-3,4pos mqs rec cod c,ZFRT,,AND,Z100,88040372,,M133,PH10,,B,C,X,0943,,,43169,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,N02,,1,,1241634-3,PC,"184,000",0,0,2710.03,0,0.00,0,0.000,0.000,07/23/2025,07/26/2025,
2286829-1,"cover,90 deg,42way hsg",ZFRT,,AND,Z130,85263167,,M796,PH10,,C,C,N,0943,,,43085,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,NBV,,3,,2286829-1,PC,"1,200",0,0,157.52,0,0.00,0,0.000,0.000,06/10/2025,07/14/2025,
1355501-1,"1,5mm tab hsg assy 4p",ZFRT,,AEO,Z200,44270229,,M132,PH10,,C,C,X,0943,,,43124,,ADN,101,HU,E,,,,,AUT SHIRWAL TESOG,,N06,,8,,1355501-1,PC,"5,000",0,0,764.78,0,0.00,0,0.000,0.000,04/25/2023,04/27/2023,09/30/2036
2141466-1,"4pos,nanomqs,sock hsg,assy,sealed,coda",ZFRT,,ADO,Z100,83405043,,M120,PH10,,A,C,N,0943,,,43155,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,N54,,1,,2141466-1,PC,"3,000",0,0,741.67,0,0.00,0,0.000,0.000,05/10/2025,07/11/2025,
2141466-1,"4pos,nanomqs,sock hsg,assy,sealed,coda",ZFRT,,ADO,Z100,81072489,,M120,PH10,,A,C,N,0943,,,43155,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,N54,,1,,2141466-1,PC,"3,000",0,0,741.67,0,0.00,0,0.000,0.000,,06/20/2025,
1-2141359-6,"cover,codings cover,code",ZFRT,,AND,Z200,84185075,,M269,PH10,,C,C,N,0943,,,41393,,AND,101,CZ,E,,,,,AUT KURIM TESOG,,P07,,,,1-2141359-6,PC,"58,000",0,0,3715.68,0,0.00,0,0.000,0.000,05/26/2025,07/02/2025,
1-1452179-1,"door latch hdr,ln6p",ZFRT,,AEO,Z200,77741929,,M709,PH10,,B,C,X,0943,,,43091,,ADN,101,IN,F,,,,,AUT SHIRWAL TESOG,,NAU,,7,,1-1452179-1,PC,240,0,0,143.06,0,0.00,0,0.000,0.000,02/20/2025,03/12/2025,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,83328546,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,440,0,0,4017.21,"15,000",3.00,0,0.000,0.000,05/09/2025,05/19/2025,
1719012-1,socket hsg 20 pos mqs,ZHLB,,ADO,Z120,85878319,,M185,,,B,,X,0943,,,43170,,ADN,101,IN,A,W,,,3213111,AUT SHIRWAL TESOG,,N04,,,,,PC,300,0,0,461.2,0,0.00,0,0.000,0.000,06/14/2025,06/24/2025,
2-2236516-1,"80pos,0.64 gener. y,rec hsg,assy,sld",ZFRT,,ADO,Z120,83320327,,M638,PH10,,A,C,N,0943,,,43069,,ADN,101,IN,G,,,,,AUT SHIRWAL TESOG,,NAC,,2,,2-2236516-1,PC,"1,020",0,0,1353.94,0,0.00,0,0.000,0.000,05/09/2025,07/11/2025,
2296039-5,"cable exit, rect, combo, left",ZFRT,,AND,Z130,88373224,,J880,PH10,,B,C,N,0943,,,14003,,AND,278,CZ,B,,,,,AUT KURIM TESOG,,P27,,,,2296039-5,PC,"2,736",0,0,1827.77,0,0.00,0,0.000,0.000,07/30/2025,08/01/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,83832832,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,800,0,0,298.39,0,0.00,0,0.000,0.000,05/15/2025,07/28/2025,
1952075-5,"coil,160b connector housing-type3",ZFRT,,AEO,Z130,82836531,,E951,PH10,,A,C,N,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,3,,1952075-5,PC,270,0,0,223.71,0,0.00,0,0.000,0.000,05/02/2025,06/11/2025,
1-1718628-1,"amp mcp 2.8 hsg. 4pos.,ass'y",ZFRT,,AEO,Z100,83077790,,M105,PH10,,B,C,X,0943,,,43104,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N10,,2,,1-1718628-1,PC,"5,600",0,0,1144.17,0,0.00,0,0.000,0.000,05/06/2025,07/16/2025,
2236216-7,"1pos,fakra ii,plug,rec hsg,assy,codg",ZFRT,,AEO,Z120,80822985,,W767,PH10,,C,C,N,0943,,,41396,,ADN,101,IN,A1,,,,,AUT SHIRWAL TESOG,,P08,,,,2236216-7,PC,"4,800",0,0,321.51,0,0.00,0,0.000,0.000,04/09/2025,06/10/2025,
1355501-1,"1,5mm tab hsg assy 4p",ZFRT,,AEO,Z200,44130220,,M132,PH10,,C,C,X,0943,,,43124,,ADN,101,HU,E,,,,,AUT SHIRWAL TESOG,,N06,,8,,1355501-1,PC,"3,000",0,0,458.87,0,0.00,0,0.000,0.000,04/19/2023,04/20/2023,09/30/2036
2141462-2,"4pos,nanomqs,rec hsg,cod b",ZHLB,,AL2,Z200,61793151,,M120,PH10,,C,C,N,0943,,,43155,,AL2,101,HU,A,,,,,AUT SHIRWAL TESOG,,N54,,,,2141462-2,PC,"85,000",0,0,2598.19,"80,000",106.00,0,0.000,0.000,08/11/2024,04/17/2025,
1241796-1,"distanzstueck,rot",ZHLB,,AL2,Z200,43780109,,M270,PH10,,C,C,X,0943,,,43113,,AL2,101,CZ,B,,,,,AUT SHIRWAL TESOG,,P16,,,,1241796-1,PC,"3,500",0,0,43.42,0,0.00,0,0.000,0.000,04/03/2023,05/11/2023,
Material,material description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Nam,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufactur,Catalog No,UOM,Unrestrict,Restricted,QC Stock,,Safety Sto,SS %,Stock in t,Blocked St,Blocked St,Date of Ma,Last goods,End of lif
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,82812659,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,"1,296",0,0,946.5,0,0.00,0,0.000,0.000,05/02/2025,07/11/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,82876296,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,432,0,0,315.5,0,0.00,0,0.000,0.000,05/03/2025,07/11/2025,
1-1718628-1,"amp mcp 2.8 hsg. 4pos.,ass'y",ZFRT,,AEO,Z100,83205882,,M105,PH10,,B,C,X,0943,,,43104,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N10,,2,,1-1718628-1,PC,"1,400",0,0,286.04,0,0.00,0,0.000,0.000,05/07/2025,07/16/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,83042768,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,864,0,0,631.0,0,0.00,0,0.000,0.000,05/05/2025,07/11/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,82356861,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,400,0,0,149.2,0,0.00,0,0.000,0.000,04/25/2025,07/03/2025,
144907-1,9p module hsg for jpt,ZHLB,,AL2,Z200,47308720,,M289,PH10,,C,C,N,0943,,,43186,,AL2,101,HU,D,,,,,AUT SHIRWAL TESOG,,N03,,,,144907-1,PC,750,0,0,116.97,0,0.00,0,0.000,0.000,10/08/2023,04/01/2025,
1952075-2,"coil,130a connector housing (type2)",ZFRT,,AEO,Z200,42339728,,E951,PH10,,C,C,N,0943,,,43061,,AEO,101,IN,A,,,,,AUT SHIRWAL TESOG,,K27,,3,,1952075-2,PC,540,0,0,423.31,0,0.00,0,0.000,0.000,12/27/2022,01/24/2023,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,86299624,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,160,0,0,1460.8,"15,000",1.00,0,0.000,0.000,06/20/2025,06/30/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,83908009,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,"1,600",0,0,596.79,0,0.00,0,0.000,0.000,05/16/2025,07/28/2025,
2066108-1,power sub cable -  efc extn- hvac for ck,ZFRT,,AEO,Z200,15734827,,L727,PH10,,C,C,X,0943,,,43058,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,895,,8,,2066108-1,PC,200,0,0,399.17,0,0.00,0,0.000,0.000,02/28/2018,03/25/2021,09/30/2035
2141494-6,"1pos,contact kit,rec hsg,assy,codf",ZFRT,,AEO,Z120,86849600,,W767,PH10,,B,C,N,0943,,,41396,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,P08,,9,,2141494-6,PC,"19,200",0,0,1428.21,0,0.00,0,0.000,0.000,07/02/2025,07/24/2025,09/30/2036
1719068-1,"cover,6pos",ZFRT,,AND,Z130,86024382,,M237,PH10,,B,C,X,0943,,,43169,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,N02,,2,,1719068-1,PC,"35,000",0,0,1064.64,0,0.00,0,0.000,0.000,06/24/2025,06/28/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,82332024,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,"2,800",0,0,1044.38,0,0.00,0,0.000,0.000,04/25/2025,07/03/2025,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,87248376,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,400,0,0,3652.01,"15,000",3.00,0,0.000,0.000,07/05/2025,07/17/2025,
1452587-3,"2way plug conn. 12,7mm pitch",ZFRT,,AEO,Z200,22479274,,W767,PH10,,C,C,X,0943,,,41396,,ADN,101,IN,D,,,,,AUT SHIRWAL TESOG,,P08,,,,1452587-3,PC,"1,800",0,0,234.83,0,0.00,0,0.000,0.000,08/31/2019,02/26/2021,
1-2236715-2,"36pos,tab1.5x0.64,header assy,codb,90deg",ZFRT,,AEO,Z120,85672830,,J656,PH10,,C,C,N,0943,,,42021,,ADN,284,IN,C,,,,,AUT SHIRWAL TESOG,,J96,,,,1-2236715-2,PC,600,0,0,1328.08,0,0.00,0,0.000,0.000,06/11/2025,06/24/2025,
1952075-5,"coil,160b connector housing-type3",ZFRT,,AEO,Z130,84304135,,E951,PH10,,A,C,N,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,3,,1952075-5,PC,135,0,0,111.85,0,0.00,0,0.000,0.000,05/20/2025,06/11/2025,
1-2236520-1,"lever, female housing, 80 way",ZHLB,,AL2,Z120,86171110,,M638,PH10,,A,C,N,0943,,,43069,,AL2,101,HU,C,,,,,AUT SHIRWAL TESOG,,NAC,,,,1-2236520-1,PC,"3,600",0,0,806.41,0,0.00,0,0.000,0.000,07/13/2025,07/16/2025,
1337245-3,hsg assy dia 1.5mm socketlatch,ZHLB,,AEO,Z120,83987993,,J653,PH10,,A,C,X,0943,,,42044,,ADN,284,IN,C,,,,,AUT SHIRWAL TESOG,,J93,,,,1337245-3,PC,"20,000",0,0,4493.74,0,0.00,0,0.000,0.000,05/19/2025,08/01/2025,
2208944-1,"sensor cpl, p444,,assy",ZFRT,,AEO,Z130,86737510,,YC43,PH10,,A,C,N,0943,,,42262,,ADN,305,IN,C,,,,,AUT SHIRWAL TESOG,,P74,,7,,2208944-1,PC,"1,200",0,0,1796.25,0,0.00,0,0.000,0.000,06/26/2025,07/08/2025,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,86335864,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,40,0,0,365.2,"15,000",0.00,0,0.000,0.000,06/20/2025,07/03/2025,
1337352-1,e3 receptacle conn. assy.,ZFRT,,AEO,Z100,82392412,,J968,PH10,,A,C,X,0943,,,42054,,ADN,284,IN,E,,,,,AUT SHIRWAL TESOG,,H83,,,,1337352-1,PC,"19,200",0,0,6971.91,0,0.00,0,0.000,0.000,04/26/2025,07/10/2025,
1952024-1,p202 hall sensor cps- cable assy,ZFRT,,AEO,Z200,6502701114,,Y370,SY10,,C,X,X,1271,,,42260,,ADN,305,IN,B,,,,,AUT SHIRWAL TESOG,,P72,,,,1952024-1,PC,300,0,0,1166.6,0,0.00,0,0.000,0.000,11/14/2014,03/22/2021,
1564004-3,"6pos,tab 1.00x0.64,tab hsg,assy",ZFRT,,ADO,Z120,81913525,,M127,,,B,,N,0943,,,43166,,ADN,101,IN,A,W,,,3052025,AUT SHIRWAL TESOG,,N26,,,,,PC,"1,100",0,0,435.38,0,0.00,0,0.000,0.000,04/21/2025,06/19/2025,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,84010276,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,360,0,0,3286.81,"15,000",2.00,0,0.000,0.000,05/17/2025,07/28/2025,
2236956-4,6pos mqs tab cod d,ZFRT,,AND,Z100,86738215,,M133,PH10,,B,C,N,0943,,,43169,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,N02,,1,,2236956-4,PC,"7,000",0,0,365.13,0,0.00,0,0.000,0.000,07/01/2025,07/03/2025,
2236082-4,4pos mqs tab,ZFRT,,AND,Z100,86530737,,M133,PH10,,B,C,N,0943,,,43169,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,N02,,1,,2236082-4,PC,"22,000",0,0,648.81,0,0.00,0,0.000,0.000,07/01/2025,07/04/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,83750156,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,"1,296",0,0,946.5,0,0.00,0,0.000,0.000,05/14/2025,07/24/2025,
2-2236516-1,"80pos,0.64 gener. y,rec hsg,assy,sld",ZFRT,,ADO,Z120,87254998,,M638,PH10,,A,C,N,0943,,,43069,,ADN,101,IN,G,,,,,AUT SHIRWAL TESOG,,NAC,,2,,2-2236516-1,PC,480,0,0,637.14,0,0.00,0,0.000,0.000,07/05/2025,07/17/2025,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,83934210,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,40,0,0,365.2,"15,000",0.00,0,0.000,0.000,05/16/2025,07/28/2025,
