Material,Material Description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Name,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde.1,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufacture Part No,Catalog No,UOM,Unrestrict,Restricted,QC Stock,Inv Value,Safety Sto,SS %,Stock in t,Blocked St,Blocked St.1,Date of Ma,Last goods,End of lif
705355-1,"ULTRAMID A3WG3, NATURAL A",ZROH,,A04,Z600,12503021,,8120,PE03,,B,C,X,822,,,12302,,ZLP,101,MY,O,,,,,AUT SHIRWAL,,029,,,,705355-1,KG,19,0,0,6961.89,0,0.00,0,0.000,0.0,04/26/2025,07/18/2025,
21-1819201-00111,Cavity insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1819201-00111,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,12/16/2024,
21-1018599-00049,Insert,ZPTL,,,,,,9789,PE04,,,N,N,822,,,12302,,,101,,,,,,,,,350,,,,21-1018599-00049,PC,3,0,0,0.03,0,0.00,0,0.000,0.0,,07/25/2025,
2066735-2,"WIRE, FLRY-A, 0.35SQMM, ORANGE-YELLOW",ZHLB,,A05,Z501,73292046,,L727,PE01,,C,C,N,822,,,43058,,IH1,101,IN,A,,,,,AUT SHIRWAL,,895,,,,2066735-2,M,"27,026.111",0,0,93997.9,0,0.00,0,0.000,0.0,12/10/2024,12/10/2024,
2348041-1,CONT VALVE WIRING HARNESS,ZFRT,,F01,Z100,88745477,,A149,PE01,,B,C,N,822,,,43058,AE9,,101,IN,C,,,,,AUT SHIRWAL FG,,895,,7.0,,2348041-1,PC,"1,000",0,0,93361.89,0,0.00,0,0.000,0.0,07/31/2025,07/31/2025,
21-1943817-13200,FRONT INSERT ABS CASE HSG,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1943817-13200,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,,
964326-5,SPT A REC 6.3 Contact SRC Ag,ZFRT,,A03,Z501,88982767,,M047,PE01,,B,C,X,822,,,43152,AE9,IX3,101,CH,C,,,,,AUT SHIRWAL,,NAQ,,9.0,,964326-5,PC,"26,400",0,0,117298.1,0,0.00,0,0.000,0.0,07/29/2025,07/29/2025,09/30/2036
28-1957307-00313,CORE INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1957307-00313,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,,
51-1014642-31801,retainer,ZPTL,,,,,,9789,PE04,,,N,N,822,,,12302,,,101,,,,,,,,,350,,2.0,,51-1014642-31801,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,,
28-1957143-00519,SIDE CORE INSERT-519,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1957143-00519,PC,10,0,0,0.1,0,0.00,0,0.000,0.0,,,
29-0138551-10203,CAVITY  INSERT 203,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,29-0138551-10203,PC,28,0,0,0.28,0,0.00,0,0.000,0.0,,06/14/2025,
1573878-1,"LAPEROS E130I, NATURAL VF2201, A",ZROH,,A04,Z600,T3811A1,,8215,,,C,,X,822,410922.0,ANIL PLASTICS & ENTERPRISES,12302,,IIS,101,TW,B,O,,,,AUT SHIRWAL,,029,,,,,KG,245.387,0,0,145546.39,0,0.00,0,0.000,0.0,10/28/2023,10/28/2023,
51-1014642-32701,Stempelaufnahme,ZPTL,,,,,,9789,PE04,,,N,N,822,,,12302,,,101,,,,,,,,,350,,,,51-1014642-32701,PC,1,0,0,0.01,0,0.00,0,0.000,0.0,,,
59-1068424-00006,SICK WTB4FP reflexions lichttaster,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,59-1068424-00006,PC,1,0,0,0.01,0,0.00,0,0.000,0.0,,,
11-3822249-2017N,Insert Clamp Base 24P,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,11-3822249-2017N,PC,18,0,0,0.18,0,0.00,0,0.000,0.0,,01/10/2025,
29-1819018-10235,CAVITY INSERT,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,29-1819018-10235,PC,3,0,0,0.03,0,0.00,0,0.000,0.0,,,
1-1719262-3,"1POS,FAKRA II,PLUG,PLUG HSG,Cod M",ZHLB,,A07,Z500,85381711,,W767,PE01,,C,C,X,822,,,41396,AE9,IH0,101,IN,A,,,,,AUT SHIRWAL,,P08,,,,1-1719262-3,PC,717,0,0,1197.39,0,0.00,0,0.000,0.0,06/06/2025,06/06/2025,
2066733-2,"WIRE, FLRY-A,0.35SQMM,ORANGE-BLUE",ZHLB,,A05,Z501,73397421,,L727,PE01,,C,C,N,822,,,43058,,IH1,101,IN,A,,,,,AUT SHIRWAL,,895,,,,2066733-2,M,"109,009.590",0,0,379139.71,0,0.00,0,0.000,0.0,12/12/2024,12/12/2024,
28-1819187-00116,CAVITY INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1819187-00116,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,,
28-1209707-00591,CORE INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1209707-00591,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,,
28-1819187-00502,SLIDE INSERT,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1819187-00502,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,,
1915240-1,"SEALANT, LOCTITE 2701 THREADLOCK, GREEN",ZHLB,,A05,Z600,,,8101,PE01,,C,C,N,822,,,12302,,IBY,101,IN,,,,,,AUT SHIRWAL,,029,,,,1915240-1,ML,50,0,0,651.0,0,0.00,0,0.000,0.0,,04/12/2025,
965577-1,COVER 90DEG,ZHLB,,A11,Z600,1039197,,J673,PE01,,C,C,X,822,,,42044,,IBY,101,MA,B,,,,,AUT SHIRWAL,,J93,,,,965577-1,PC,"6,200",0,0,62186.0,0,0.00,0,0.000,0.0,05/03/2025,07/21/2025,
1564004-1,"6POS,TAB 1.00X0.64,TAB HSG,3SB,ASSY",ZFRT,,F04,Z200,46713337,,M127,PE01,,C,C,X,822,,,43166,,IBY,101,IN,A,,,,,AUT SHIRWAL FG,,N26,,9.0,,1564004-1,PC,"1,100",0,0,40315.0,0,0.00,0,0.000,0.0,09/04/2023,09/04/2023,09/30/2037
1203435-6,"WIRE,FLRY-B,2.5,Brown",ZHLB,,A05,Z501,85897225,,L727,PE01,,B,C,X,822,,,43058,AE9,IH7,101,IN,NR,,,,,AUT SHIRWAL,,895,,,,1203435-6,M,985,0,0,22117.7,0,0.00,0,0.000,0.0,06/14/2025,06/14/2025,
21-1018295-00115,Kern,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1018295-00115,PC,6,0,0,0.06,0,0.00,0,0.000,0.0,,05/09/2024,
39-1959115-00106,Bending & Cutting Stripper,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,39-1959115-00106,PC,1,0,0,0.01,0,0.00,0,0.000,0.0,,,
2136628-1,"CRASTIN HR5330HFS, BLACK BK591, A",ZROH,,A04,Z600,0002222881,,8215,PE01,,A,C,N,822,,,12302,,IIS,101,CN,A,,,,,AUT SHIRWAL,,029,,,,2136628-1,KG,"3,000",0,0,1305763.8,0,0.00,0,0.000,0.0,07/15/2025,07/15/2025,
1573164-5,"PE COLORANT, CREAM 1/2973 (RAL9001), A",ZROH,,A04,Z600,69189300,,8012,PE01,,C,C,X,822,,,12302,AE9,IIS,101,DE,D,,,,,AUT SHIRWAL,,029,,,,1573164-5,KG,27.727,0,0,37660.83,0,0.00,0,0.000,0.0,10/13/2024,10/13/2024,
51-0138925-03007,BENDING DIE RIGHT,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,51-0138925-03007,PC,4,0,0,0.04,0,0.00,0,0.000,0.0,,,
9-1203558-7,Thermal Transfer Ribbon 100 mm x 360 mtr,ZROH,,A05,Z630,87558764,,M289,PE01,,C,C,X,822,,,43186,AE9,IH7,101,IN,O,,,,,AUT SHIRWAL,,N03,,,,9-1203558-7,PC,10,0,0,7871.0,0,0.00,0,0.000,0.0,07/10/2025,07/10/2025,
2477043-1,FLUX.RF 800 TRANSPARENT,ZHLB,,A05,Z600,50102002IA,,M289,PE01,,C,N,N,822,,,43186,,IBY,101,IN,A,,,,,AUT SHIRWAL,,N03,,2.0,,2477043-1,L,6.393,0,0,3224.95,0,0.00,0,0.000,0.0,01/28/2025,01/28/2025,
21-1976893-00317,Core Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,21-1976893-00317,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,04/07/2025,
2443301-1,"66POS,HYBRID,TAB HSG,UNSLD",ZHLB,,F01,Z200,2539183762,,Y297,PE01,,B,C,N,822,,,43066,,,101,IN,B,,,,,AUT SHIRWAL FG,,AG8,,,,2443301-1,PC,743,0,0,13047.08,0,0.00,0,0.000,0.0,,07/08/2025,
2303024-1,"VENT MEMBRANE,VENT",ZHLB,,A05,Z501,88983922,,J658,PE01,,A,C,N,822,,,42074,,ZLP,101,DE,A,,,,,AUT SHIRWAL,,J97,,,,2303024-1,PC,"70,000",0,0,473453.4,0,0.00,0,0.000,0.0,07/29/2025,07/29/2025,
1-704420-2,"PA6 COLORANT, YELLOW 2/6050PA, A",ZROH,,A11,Z600,85811219,,8012,PE01,,C,C,X,822,,,12302,,IBY,101,DE,A,,,,,AUT SHIRWAL,,029,,,,1-704420-2,KG,25,0,0,95621.99,0,0.00,0,0.000,0.0,06/13/2025,06/13/2025,
2345198-1,"E,PLASBAG,ESD, 165MM X 230MM X 75MIC",ZVRP,,A05,Z630,,,M241,PE01,,C,N,N,822,,,43061,,IH0,101,,,,,,,AUT SHIRWAL,,K27,,,,2345198-1,PC,"2,797.941",0,0,6560.19,0,0.00,0,0.000,0.0,,07/12/2025,
2470255-1,"WIRE, FLRY-A, 0.35SQMM, YELLOW-BLACK",ZHLB,,A05,Z501,85994092,,L727,PE03,,C,C,N,822,,,43058,,IH1,101,IN,A,,,,,AUT SHIRWAL,,895,,,,2470255-1,M,50.500,0,0,175.64,0,0.00,0,0.000,0.0,06/16/2025,06/16/2025,
